food_id,name,category,price,quantity_available,nutrition_tag,seller_id,location
1,Rice,carb,1606,155,High Fibre,3,"Aba, Abia"
2,Rice,carb,2191,73,High Energy,6,"Arochukwu, Abia"
3,Rice,carb,2385,133,High Energy,8,"Umuahia, Abia"
4,Rice,carb,2344,73,High Energy,10,"Jimeta, Adamawa"
5,Rice,carb,1275,64,High Energy,15,"Mubi, Adamawa"
6,Rice,carb,1494,168,High Energy,16,"Numan, Adamawa"
7,Rice,carb,1162,82,High Energy,20,"Yola, Adamawa"
8,Rice,carb,1647,102,High Fibre,23,"Ikot Abasi, Akwa Ibom"
9,Rice,carb,1112,139,High Fibre,25,"Ikot Ekpene, Akwa Ibom"
10,Rice,carb,1993,95,High Fibre,29,"Oron, Akwa Ibom"
11,Rice,carb,2798,36,High Fibre,33,"Uyo, Akwa Ibom"
12,Rice,carb,2230,65,High Energy,34,"Awka, Anambra"
13,Rice,carb,2533,78,High Energy,39,"Onitsha, Anambra"
14,Rice,carb,1197,148,High Energy,42,"Azare, Bauchi"
15,Rice,carb,1823,77,High Energy,44,"Bauchi, Bauchi"
16,Rice,carb,1922,33,High Fibre,46,"Jama'are, Bauchi"
17,Rice,carb,2813,129,High Energy,50,"Katagum, Bauchi"
18,Rice,carb,1736,190,High Fibre,54,"Misau, Bauchi"
19,Rice,carb,1572,188,High Energy,56,"Brass, Bayelsa"
20,Rice,carb,2917,40,High Fibre,59,"Makurdi, Benue"
21,Rice,carb,2841,186,High Energy,63,"Biu, Borno"
22,Rice,carb,2276,174,High Fibre,66,"Dikwa, Borno"
23,Rice,carb,1995,144,High Energy,68,"Maiduguri, Borno"
24,Rice,carb,2785,200,High Energy,71,"Calabar, Cross River"
25,Rice,carb,1418,88,High Energy,74,"Ogoja, Cross River"
26,Rice,carb,2807,110,High Energy,78,"Asaba, Delta"
27,Rice,carb,1921,61,High Fibre,80,"Burutu, Delta"
28,Rice,carb,2876,88,High Fibre,82,"Koko, Delta"
29,Rice,carb,1397,32,High Fibre,86,"Sapele, Delta"
30,Rice,carb,2303,137,High Fibre,89,"Ughelli, Delta"
31,Rice,carb,1969,73,High Energy,93,"Warri, Delta"
32,Rice,carb,2272,111,High Fibre,96,"Abakaliki, Ebonyi"
33,Rice,carb,2095,52,High Energy,97,"Benin City, Edo"
34,Rice,carb,1957,122,High Fibre,101,"Ado-Ekiti, Ekiti"
35,Rice,carb,1697,109,High Fibre,103,"Effon-Alaiye, Ekiti"
36,Rice,carb,2876,176,High Energy,108,"Ikere-Ekiti, Ekiti"
37,Rice,carb,2012,139,High Fibre,109,"Enugu, Enugu"
38,Rice,carb,1903,30,High Energy,114,"Nsukka, Enugu"
39,Rice,carb,2595,179,High Energy,117,"Abuja, FCT"
40,Rice,carb,2575,108,High Fibre,119,"Deba Habe, Gombe"
41,Rice,carb,2364,46,High Fibre,123,"Gombe, Gombe"
42,Rice,carb,2230,22,High Fibre,125,"Kumo, Gombe"
43,Rice,carb,2849,64,High Fibre,129,"Owerri, Imo"
44,Rice,carb,1676,114,High Energy,130,"Birnin Kudu, Jigawa"
45,Rice,carb,2372,82,High Energy,133,"Dutse, Jigawa"
